"ID","Income","AppliedOnline","Residence","YearCurrentAddress","YearsCurrentEmployer","NumberOfCards","CCDebt","Loans","LoanAmount","SalePrice","Location","MortgageDefault"
"100522.0","43982.0","YES","Owner Occupier","13.0","11.0","2.0","1055.0","0.0","9405.0","500000","110","NO"
"101756.0","59944.0","YES","Owner Occupier","20.0","11.0","2.0","3894.0","0.0","9880.0","750000","110","NO"
"101354.0","57718.0","YES","Owner Occupier","25.0","16.0","2.0","1555.0","1.0","6285.0","155000","130","YES"
"100512.0","45621.0","YES","Owner Occupier","1.0","19.0","1.0","1878.0","0.0","9260.0","195000","100","YES"
"100537.0","45081.0","NO","Owner Occupier","14.0","15.0","2.0","713.0","1.0","8430.0","140000","110","NO"
"100458.0","46645.0","NO","Owner Occupier","19.0","4.0","1.0","884.0","0.0","6045.0","475000","110","NO"
"101430.0","45066.0","YES","Private Renting","16.0","15.0","1.0","860.0","1.0","6605.0","255000","100","YES"
"101432.0","44202.0","NO","Owner Occupier","1.0","23.0","2.0","2611.0","0.0","12915.0","162000","101","NO"
"100601.0","55215.0","YES","Private Renting","1.0","6.0","2.0","1930.0","0.0","9820.0","905000","110","NO"
"101549.0","44460.0","YES","Owner Occupier","4.0","16.0","1.0","3467.0","1.0","9290.0","192000","100","YES"
"101524.0","57004.0","YES","Private Renting","14.0","31.0","1.0","3561.0","0.0","6720.0","121000","100","NO"
"100548.0","44272.0","YES","Owner Occupier","12.0","20.0","1.0","645.0","1.0","10095.0","170000","100","YES"
"101472.0","45659.0","YES","Public Housing","12.0","17.0","1.0","9466.0","1.0","17050.0","340000","100","NO"
"100536.0","45450.0","YES","Owner Occupier","15.0","24.0","1.0","4217.0","0.0","8040.0","270000","100","YES"
"100599.0","52495.0","NO","Owner Occupier","18.0","16.0","2.0","2527.0","1.0","10375.0","195000","100","YES"
"100627.0","44671.0","YES","Private Renting","16.0","9.0","2.0","3971.0","1.0","12050.0","270000","130","YES"
"101754.0","50816.0","YES","Owner Occupier","0.0","17.0","2.0","2031.0","1.0","8075.0","300000","130","YES"
"101749.0","43876.0","YES","Private Renting","13.0","0.0","2.0","98.0","1.0","5330.0","252500","100","NO"
"100620.0","44705.0","YES","Owner Occupier","0.0","8.0","1.0","230.0","0.0","5720.0","275000","111","NO"
"100569.0","46168.0","YES","Private Renting","0.0","6.0","1.0","3762.0","1.0","12520.0","385000","120","YES"
"100782.0","43608.0","NO","Owner Occupier","2.0","20.0","1.0","452.0","0.0","7610.0","410000","100","YES"
"100756.0","59944.0","YES","Owner Occupier","20.0","11.0","2.0","3894.0","0.0","9880.0","750000","110","NO"
"101452.0","57689.0","NO","Owner Occupier","25.0","19.0","1.0","331.0","1.0","9915.0","315000","100","YES"
"100494.0","55421.0","NO","Owner Occupier","11.0","3.0","2.0","1169.0","0.0","10715.0","245000","130","YES"
"100563.0","55112.0","YES","Living with parents/guardian","10.0","14.0","2.0","4113.0","1.0","14510.0","265000","100","YES"
"100677.0","44728.0","YES","Private Renting","2.0","7.0","2.0","847.0","0.0","11580.0","237500","110","NO"
"100697.0","51561.0","NO","Public Housing","17.0","5.0","2.0","3010.0","0.0","16630.0","359850","100","NO"
"100423.0","49007.0","NO","Living with parents/guardian","14.0","18.0","1.0","13360.0","0.0","24375.0","200000","100","NO"
"101722.0","45390.0","YES","Owner Occupier","3.0","2.0","2.0","154.0","0.0","11710.0","242500","110","NO"
"100439.0","43890.0","YES","Owner Occupier","19.0","18.0","2.0","505.0","1.0","6960.0","348500","100","NO"
"101363.0","44193.0","YES","Public Housing","18.0","3.0","1.0","260.0","0.0","6605.0","284500","120","NO"
"100325.0","52540.0","YES","Sheltered","0.0","15.0","2.0","397.0","0.0","8250.0","215000","120","YES"
"100532.0","48931.0","YES","Owner Occupier","11.0","19.0","2.0","652.0","0.0","7795.0","190000","100","NO"
"100695.0","58878.0","NO","Owner Occupier","18.0","9.0","1.0","1680.0","0.0","6165.0","260000","100","YES"
"100589.0","43362.0","YES","Owner Occupier","15.0","4.0","2.0","434.0","1.0","4320.0","650000","391","YES"
"101764.0","44787.0","YES","Owner Occupier","9.0","4.0","2.0","982.0","0.0","8175.0","295000","100","NO"
"100704.0","43651.0","YES","Private Renting","4.0","11.0","2.0","527.0","1.0","6090.0","265000","100","NO"
"100741.0","45001.0","YES","Public Housing","11.0","17.0","1.0","2134.0","1.0","9285.0","370000","110","YES"
"100472.0","45659.0","YES","Public Housing","12.0","17.0","1.0","9466.0","1.0","17050.0","340000","100","NO"
"100590.0","59393.0","NO","Owner Occupier","34.0","18.0","2.0","2746.0","0.0","6845.0","400000","100","YES"
"100516.0","45849.0","NO","Living with parents/guardian","13.0","9.0","2.0","364.0","1.0","12210.0","195000","100","YES"
"100368.0","43474.0","YES","Living with parents/guardian","17.0","1.0","1.0","270.0","1.0","5315.0","125000","100","NO"
"100465.0","44048.0","NO","Owner Occupier","0.0","6.0","1.0","222.0","0.0","10155.0","299000","101","NO"
"101635.0","44039.0","YES","Owner Occupier","17.0","6.0","2.0","109.0","1.0","6590.0","235000","120","YES"
"100625.0","45993.0","NO","Public Housing","6.0","7.0","2.0","311.0","0.0","8670.0","199000","100","NO"
"100635.0","44039.0","YES","Owner Occupier","17.0","6.0","2.0","109.0","1.0","6590.0","235000","120","YES"
"100411.0","47833.0","YES","Owner Occupier","9.0","6.0","1.0","854.0","0.0","12920.0","200000","130","NO"
"100530.0","43303.0","YES","Owner Occupier","2.0","7.0","2.0","866.0","1.0","10220.0","75000","100","NO"
"101700.0","55140.0","NO","Owner Occupier","20.0","13.0","2.0","5095.0","0.0","8540.0","545000","100","NO"
"100350.0","52973.0","NO","Public Housing","13.0","3.0","1.0","2535.0","0.0","9365.0","420000","111","YES"
"100721.0","43669.0","YES","Living with parents/guardian","18.0","10.0","1.0","2518.0","0.0","12500.0","325000","100","YES"
"100676.0","44597.0","YES","Owner Occupier","10.0","12.0","2.0","468.0","0.0","8630.0","135000","100","NO"
"100793.0","50552.0","YES","Owner Occupier","5.0","23.0","1.0","466.0","0.0","6880.0","380000","110","YES"
"100283.0","43800.0","YES","Owner Occupier","0.0","4.0","2.0","725.0","0.0","7340.0","259000","100","NO"
"101694.0","53307.0","YES","Owner Occupier","8.0","27.0","2.0","1984.0","1.0","9475.0","130000","100","NO"
"100594.0","49529.0","YES","Owner Occupier","9.0","10.0","1.0","342.0","0.0","7995.0","345000","110","YES"
"100337.0","45209.0","YES","Owner Occupier","4.0","9.0","2.0","658.0","0.0","11420.0","185000","101","YES"
